Target Variable,Model,R-squared,MAE,MSE,RMSE
Gold Ounces Produced,Artificial Neural Network,0.983,6.297,90.243,9.5
Gold Ounces Produced,CatBoost,0.982,6.483,98.684,9.934
Gold Ounces Produced,XGBoost Regressor,0.98,6.827,108.048,10.395
Gold Ounces Produced,LightGBM,0.978,6.886,116.381,10.788
Gold Ounces Produced,Decision Tree Regressor,0.966,9.594,182.872,13.523
Gold Ounces Produced,Linear Regression,0.904,12.75,517.838,22.756
Gold Ounces Produced,Support Vector Machine,0.759,15.035,1297.479,36.021
Gold Recovery,CatBoost,0.72,0.024,0.002,0.047
Gold Recovery,XGBoost Regressor,0.716,0.025,0.002,0.047
Gold Recovery,Artificial Neural Network,0.692,0.026,0.002,0.049
Gold Recovery,LightGBM,0.688,0.027,0.002,0.05
Gold Recovery,Decision Tree Regressor,0.61,0.035,0.003,0.056
Gold Recovery,Support Vector Machine,0.581,0.042,0.003,0.058
Gold Recovery,Linear Regression,0.257,0.035,0.006,0.077
Silver Ounces Produced,CatBoost,0.793,108.078,23940.979,154.729
Silver Ounces Produced,Artificial Neural Network,0.793,108.903,24021.369,154.988
Silver Ounces Produced,XGBoost Regressor,0.785,110.09,24896.291,157.786
Silver Ounces Produced,LightGBM,0.783,111.181,25161.088,158.622
Silver Ounces Produced,Linear Regression,0.698,126.973,35001.914,187.088
Silver Ounces Produced,Decision Tree Regressor,0.587,154.653,47853.135,218.754
Silver Ounces Produced,Support Vector Machine,0.336,182.81,76904.071,277.316
Silver Recovery,Artificial Neural Network,0.263,0.088,0.014,0.119
Silver Recovery,CatBoost,0.256,0.086,0.014,0.12
Silver Recovery,Support Vector Machine,0.249,0.088,0.015,0.121
Silver Recovery,XGBoost Regressor,0.242,0.087,0.015,0.121
Silver Recovery,LightGBM,0.239,0.088,0.015,0.121
Silver Recovery,Linear Regression,0.101,0.095,0.017,0.132
Silver Recovery,Decision Tree Regressor,-0.416,0.123,0.027,0.166
Mine Tonnage,Artificial Neural Network,0.214,471.098,355453.886,596.2
Mine Tonnage,Linear Regression,0.206,474.077,358928.383,599.106
Mine Tonnage,CatBoost,0.196,476.798,363232.126,602.687
Mine Tonnage,XGBoost Regressor,0.191,478.296,365673.128,604.709
Mine Tonnage,LightGBM,0.159,486.136,380103.423,616.525
Mine Tonnage,Support Vector Machine,0.108,503.697,403181.883,634.966
Mine Tonnage,Decision Tree Regressor,-0.628,690.725,735900.724,857.847
